HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text,Answer.extremism level.label,Approve,Reject
31ODACBENU8G9RUVVITG3W7HIWVSQ6,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,3OUYGIZWR8RYVQ7YC509H57EIWH0PR,A17S6D2Z3VO1M5,Approved,Mon Apr 10 05:19:09 PDT 2023,Mon Apr 10 05:19:21 PDT 2023,Thu Apr 13 05:19:21 PDT 2023,Thu Apr 13 05:19:35 PDT 2023,,,12,100% (12/12),100% (12/12),100% (12/12),"China eases #COVID19 measures, cutting quarantine and scrapping flight bans  https://t.co/ycP5XiPLQH",Far-left,,
31ODACBENU8G9RUVVITG3W7HIWVSQ6,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,374TNBHA8COGSX4YKQQ792R8Z5HYQG,A2RWC9K0YYUFGS,Approved,Mon Apr 10 05:21:37 PDT 2023,Mon Apr 10 05:22:14 PDT 2023,Thu Apr 13 05:22:14 PDT 2023,Thu Apr 13 05:22:27 PDT 2023,,,37,100% (5/5),100% (5/5),100% (5/5),"China eases #COVID19 measures, cutting quarantine and scrapping flight bans  https://t.co/ycP5XiPLQH",Neutral,,
31ODACBENU8G9RUVVITG3W7HIWVSQ6,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,3EF8EXOTT2O2G4PIDBZPYE4CEPG1JU,A3H58W79FXLSNE,Approved,Mon Apr 10 05:18:13 PDT 2023,Mon Apr 10 05:20:07 PDT 2023,Thu Apr 13 05:20:07 PDT 2023,Thu Apr 13 05:20:29 PDT 2023,,,114,100% (5/5),100% (5/5),100% (5/5),"China eases #COVID19 measures, cutting quarantine and scrapping flight bans  https://t.co/ycP5XiPLQH",Near-right,,
31ODACBENU8G9RUVVITG3W7HIWVSQ6,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,3W8CV64QJ3SOE3XNTOBX176GZ90H9E,A3LZHZSE1ZA3B2,Approved,Mon Apr 10 05:18:28 PDT 2023,Mon Apr 10 05:19:35 PDT 2023,Thu Apr 13 05:19:35 PDT 2023,Thu Apr 13 05:19:40 PDT 2023,,,67,100% (13/13),100% (13/13),100% (13/13),"China eases #COVID19 measures, cutting quarantine and scrapping flight bans  https://t.co/ycP5XiPLQH",Neutral,,
31ODACBENU8G9RUVVITG3W7HIWVSQ6,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,3TXWC2NHN0JD4CB34INW5LDI8KHS9A,AJ5UWNV6L01C9,Approved,Mon Apr 10 05:18:50 PDT 2023,Mon Apr 10 05:19:59 PDT 2023,Thu Apr 13 05:19:59 PDT 2023,Thu Apr 13 05:20:27 PDT 2023,,,69,100% (17/17),100% (17/17),100% (17/17),"China eases #COVID19 measures, cutting quarantine and scrapping flight bans  https://t.co/ycP5XiPLQH",Far-right,,
3WGZLY9VCHF41YBHCYHRM60HNNZD8M,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,369J354OFE3NWO0EBBQ3WX3DU8FG63,A10AJ59UPJFRYL,Approved,Mon Apr 10 05:18:50 PDT 2023,Mon Apr 10 05:20:02 PDT 2023,Thu Apr 13 05:20:02 PDT 2023,Thu Apr 13 05:20:28 PDT 2023,,,72,100% (13/13),100% (13/13),100% (13/13),I maintain that in 20 years we will look back at the mandatory #covid19 vaccination of over 95% of the population as a criminal act by the government with serious health consequences. They'll all say 'we didn't know' - but they did.,Near-right,,
3WGZLY9VCHF41YBHCYHRM60HNNZD8M,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,3HSYG7LRBKRZXPHM365J480O2KGKKF,A12MUH7GQDNCLP,Approved,Mon Apr 10 05:18:36 PDT 2023,Mon Apr 10 05:19:03 PDT 2023,Thu Apr 13 05:19:03 PDT 2023,Thu Apr 13 05:19:29 PDT 2023,,,27,100% (8/8),100% (8/8),100% (8/8),I maintain that in 20 years we will look back at the mandatory #covid19 vaccination of over 95% of the population as a criminal act by the government with serious health consequences. They'll all say 'we didn't know' - but they did.,Near-left,,
3WGZLY9VCHF41YBHCYHRM60HNNZD8M,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,39K0FND3AI8OB083CR5AP7PWMDHAMV,A338TR8YEZA29R,Approved,Mon Apr 10 05:19:04 PDT 2023,Mon Apr 10 05:20:03 PDT 2023,Thu Apr 13 05:20:03 PDT 2023,Thu Apr 13 05:20:29 PDT 2023,,,59,100% (9/9),100% (9/9),100% (9/9),I maintain that in 20 years we will look back at the mandatory #covid19 vaccination of over 95% of the population as a criminal act by the government with serious health consequences. They'll all say 'we didn't know' - but they did.,Neutral,,
3WGZLY9VCHF41YBHCYHRM60HNNZD8M,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,3DH6GAKTYZIP6P5P7M9K0V3C481YZ9,A3QXY8LOG924BF,Approved,Mon Apr 10 05:20:12 PDT 2023,Mon Apr 10 05:21:04 PDT 2023,Thu Apr 13 05:21:04 PDT 2023,Thu Apr 13 05:21:27 PDT 2023,,,52,100% (4/4),100% (4/4),100% (4/4),I maintain that in 20 years we will look back at the mandatory #covid19 vaccination of over 95% of the population as a criminal act by the government with serious health consequences. They'll all say 'we didn't know' - but they did.,Far-left,,
3WGZLY9VCHF41YBHCYHRM60HNNZD8M,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,3NPI0JQDAPYZBZ4PA7OJ1G9JF7DTPV,AV3NMCN13C6RM,Approved,Mon Apr 10 05:23:09 PDT 2023,Mon Apr 10 05:23:30 PDT 2023,Thu Apr 13 05:23:30 PDT 2023,Thu Apr 13 05:24:23 PDT 2023,,,21,100% (6/6),100% (6/6),100% (6/6),I maintain that in 20 years we will look back at the mandatory #covid19 vaccination of over 95% of the population as a criminal act by the government with serious health consequences. They'll all say 'we didn't know' - but they did.,Near-right,,
3XABXM4AJ1YYQ7FMHKNBM57G62OQ84,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,3H0W84IWBLVIYT27X43D7P9XDFEREV,A12MUH7GQDNCLP,Approved,Mon Apr 10 05:21:26 PDT 2023,Mon Apr 10 05:21:44 PDT 2023,Thu Apr 13 05:21:44 PDT 2023,Thu Apr 13 05:22:24 PDT 2023,,,18,100% (8/8),100% (8/8),100% (8/8),"It would be understatement to say that our #world changed during the two years of the #COVID19 #pandemic.The team that kept working #nonstop behind the scenes to ensure that this sudden shift to a majorly #digitized way of working.

Read Full Article Here:
https://t.co/5zsygUut5Q",Near-left,,
3XABXM4AJ1YYQ7FMHKNBM57G62OQ84,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,35L9RVQFCPBMYVLQRZ6OX3TUCUAHU5,A17SG2B08QE0RF,Approved,Mon Apr 10 05:18:51 PDT 2023,Mon Apr 10 05:18:56 PDT 2023,Thu Apr 13 05:18:56 PDT 2023,Thu Apr 13 05:19:27 PDT 2023,,,5,100% (7/7),100% (7/7),100% (7/7),"It would be understatement to say that our #world changed during the two years of the #COVID19 #pandemic.The team that kept working #nonstop behind the scenes to ensure that this sudden shift to a majorly #digitized way of working.

Read Full Article Here:
https://t.co/5zsygUut5Q",Neutral,,
3XABXM4AJ1YYQ7FMHKNBM57G62OQ84,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,3IJXV6UZ1YCUEY4TTNT4S47P58LRI4,A3B2XON26P8JAM,Approved,Mon Apr 10 05:18:51 PDT 2023,Mon Apr 10 05:20:03 PDT 2023,Thu Apr 13 05:20:03 PDT 2023,Thu Apr 13 05:20:28 PDT 2023,,,72,100% (12/12),100% (12/12),100% (12/12),"It would be understatement to say that our #world changed during the two years of the #COVID19 #pandemic.The team that kept working #nonstop behind the scenes to ensure that this sudden shift to a majorly #digitized way of working.

Read Full Article Here:
https://t.co/5zsygUut5Q",Far-right,,
3XABXM4AJ1YYQ7FMHKNBM57G62OQ84,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,32SVAV9L3G2NPE0T690VT8GQMM13A9,A3GU8EXBORLDYA,Approved,Mon Apr 10 05:19:17 PDT 2023,Mon Apr 10 05:20:46 PDT 2023,Thu Apr 13 05:20:46 PDT 2023,Thu Apr 13 05:21:24 PDT 2023,,,89,100% (14/14),100% (14/14),100% (14/14),"It would be understatement to say that our #world changed during the two years of the #COVID19 #pandemic.The team that kept working #nonstop behind the scenes to ensure that this sudden shift to a majorly #digitized way of working.

Read Full Article Here:
https://t.co/5zsygUut5Q",Far-right,,
3XABXM4AJ1YYQ7FMHKNBM57G62OQ84,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,3V5Q80FXIYKYKB5PTU7GNQXSAY9231,AIS03FPGFAG84,Approved,Mon Apr 10 05:20:44 PDT 2023,Mon Apr 10 05:21:45 PDT 2023,Thu Apr 13 05:21:45 PDT 2023,Thu Apr 13 05:22:24 PDT 2023,,,61,100% (6/6),100% (6/6),100% (6/6),"It would be understatement to say that our #world changed during the two years of the #COVID19 #pandemic.The team that kept working #nonstop behind the scenes to ensure that this sudden shift to a majorly #digitized way of working.

Read Full Article Here:
https://t.co/5zsygUut5Q",Far-left,,
3L1EFR8WWTY1DN8N8WIVA2YDJ6XF9O,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,3RRCEFRB7N5DQKOPC15AYOS2I4H4BP,A1P9IF475VLU2C,Approved,Mon Apr 10 05:18:11 PDT 2023,Mon Apr 10 05:18:33 PDT 2023,Thu Apr 13 05:18:33 PDT 2023,Thu Apr 13 05:19:23 PDT 2023,,,22,100% (11/11),100% (11/11),100% (11/11),"China adjusted #COVID19 measures for inbound travelers Friday:
 Circuit breaker measures for inbound flights canceled 
 Quarantine time cut to 5 days of centralized quarantine + 3 days of home quarantine
 Pre-departure test requirement cut from twice within 48 hours to once https://t.co/TstseSCVyW",Neutral,,
3L1EFR8WWTY1DN8N8WIVA2YDJ6XF9O,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,37KGEN7NJ4J1J7BITQFZW68MQ4SPPM,A2P0EZBOOTBSAL,Approved,Mon Apr 10 05:18:35 PDT 2023,Mon Apr 10 05:19:58 PDT 2023,Thu Apr 13 05:19:58 PDT 2023,Thu Apr 13 05:20:27 PDT 2023,,,83,100% (10/10),100% (10/10),100% (10/10),"China adjusted #COVID19 measures for inbound travelers Friday:
 Circuit breaker measures for inbound flights canceled 
 Quarantine time cut to 5 days of centralized quarantine + 3 days of home quarantine
 Pre-departure test requirement cut from twice within 48 hours to once https://t.co/TstseSCVyW",Far-right,,
3L1EFR8WWTY1DN8N8WIVA2YDJ6XF9O,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,3PIWWX1FJKZ9BL5M305V2E0Y86FJJF,A3K9ZNOQFBE037,Approved,Mon Apr 10 05:20:12 PDT 2023,Mon Apr 10 05:20:26 PDT 2023,Thu Apr 13 05:20:26 PDT 2023,Thu Apr 13 05:20:34 PDT 2023,,,14,100% (11/11),100% (11/11),100% (11/11),"China adjusted #COVID19 measures for inbound travelers Friday:
 Circuit breaker measures for inbound flights canceled 
 Quarantine time cut to 5 days of centralized quarantine + 3 days of home quarantine
 Pre-departure test requirement cut from twice within 48 hours to once https://t.co/TstseSCVyW",Far-right,,
3L1EFR8WWTY1DN8N8WIVA2YDJ6XF9O,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,3OJSZ2ATDTP8KRPZDPC4YECKZAL75B,AORHXBTOCXFUK,Approved,Mon Apr 10 05:18:24 PDT 2023,Mon Apr 10 05:19:28 PDT 2023,Thu Apr 13 05:19:28 PDT 2023,Thu Apr 13 05:19:38 PDT 2023,,,64,100% (6/6),100% (6/6),100% (6/6),"China adjusted #COVID19 measures for inbound travelers Friday:
 Circuit breaker measures for inbound flights canceled 
 Quarantine time cut to 5 days of centralized quarantine + 3 days of home quarantine
 Pre-departure test requirement cut from twice within 48 hours to once https://t.co/TstseSCVyW",Near-right,,
3L1EFR8WWTY1DN8N8WIVA2YDJ6XF9O,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,3W2LOLRXLC8LKTUHTQEG5KM2XCARKF,AWEOVYNS6G6OR,Approved,Mon Apr 10 05:18:51 PDT 2023,Mon Apr 10 05:19:30 PDT 2023,Thu Apr 13 05:19:30 PDT 2023,Thu Apr 13 05:19:39 PDT 2023,,,39,100% (20/20),100% (20/20),100% (20/20),"China adjusted #COVID19 measures for inbound travelers Friday:
 Circuit breaker measures for inbound flights canceled 
 Quarantine time cut to 5 days of centralized quarantine + 3 days of home quarantine
 Pre-departure test requirement cut from twice within 48 hours to once https://t.co/TstseSCVyW",Far-right,,
3AJA9FLWSCRUOO1QCQO8NVXG2WKIFA,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,3018Q3ZVOJJF8GLVHZ1RB6J6S0GRA0,A15Q4D1WW9GFSK,Approved,Mon Apr 10 05:21:26 PDT 2023,Mon Apr 10 05:21:42 PDT 2023,Thu Apr 13 05:21:42 PDT 2023,Thu Apr 13 05:22:24 PDT 2023,,,16,100% (6/6),100% (6/6),100% (6/6),"@unusual_whales #China: Must understand that further optimization of prevention and control measures is to make prevention and control more 'scientific and precise.' Must not misread optimization as 'relaxing epidemic prevention and control' or even 'giving up Covid-fight.'
#COVID19",Neutral,,
3AJA9FLWSCRUOO1QCQO8NVXG2WKIFA,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,3TXD01ZLD5ASMJXVCSM53EKQ7PNU4V,A1DQPSN8NM1BGM,Approved,Mon Apr 10 05:20:13 PDT 2023,Mon Apr 10 05:21:09 PDT 2023,Thu Apr 13 05:21:09 PDT 2023,Thu Apr 13 05:21:28 PDT 2023,,,56,100% (3/3),100% (3/3),100% (3/3),"@unusual_whales #China: Must understand that further optimization of prevention and control measures is to make prevention and control more 'scientific and precise.' Must not misread optimization as 'relaxing epidemic prevention and control' or even 'giving up Covid-fight.'
#COVID19",Far-right,,
3AJA9FLWSCRUOO1QCQO8NVXG2WKIFA,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,3VHP9MDGROD6Y5DKAIXO0CVBPFQFCV,A1VCJBY1IOTUEP,Approved,Mon Apr 10 05:18:31 PDT 2023,Mon Apr 10 05:20:27 PDT 2023,Thu Apr 13 05:20:27 PDT 2023,Thu Apr 13 05:20:34 PDT 2023,,,116,100% (9/9),100% (9/9),100% (9/9),"@unusual_whales #China: Must understand that further optimization of prevention and control measures is to make prevention and control more 'scientific and precise.' Must not misread optimization as 'relaxing epidemic prevention and control' or even 'giving up Covid-fight.'
#COVID19",Near-right,,
3AJA9FLWSCRUOO1QCQO8NVXG2WKIFA,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,34QN5IT0T0KDPY8HQOYYVJCOTMG80E,A20VDJXO3FJUVT,Approved,Mon Apr 10 05:18:38 PDT 2023,Mon Apr 10 05:18:43 PDT 2023,Thu Apr 13 05:18:43 PDT 2023,Thu Apr 13 05:19:25 PDT 2023,,,5,100% (9/9),100% (9/9),100% (9/9),"@unusual_whales #China: Must understand that further optimization of prevention and control measures is to make prevention and control more 'scientific and precise.' Must not misread optimization as 'relaxing epidemic prevention and control' or even 'giving up Covid-fight.'
#COVID19",Near-left,,
3AJA9FLWSCRUOO1QCQO8NVXG2WKIFA,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,3634BBTX0PNXB8ZK2STABFT62KAFIX,A2700E64WSENCO,Approved,Mon Apr 10 05:20:54 PDT 2023,Mon Apr 10 05:21:45 PDT 2023,Thu Apr 13 05:21:45 PDT 2023,Thu Apr 13 05:22:24 PDT 2023,,,51,100% (4/4),100% (4/4),100% (4/4),"@unusual_whales #China: Must understand that further optimization of prevention and control measures is to make prevention and control more 'scientific and precise.' Must not misread optimization as 'relaxing epidemic prevention and control' or even 'giving up Covid-fight.'
#COVID19",Near-right,,
3SCKNODZ0X99NWXBRN3O4BGGQ7VN7R,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,3RKNTXVS3NR87AJX6N5E3D8W0MWA40,A11W6B2XN545TF,Approved,Mon Apr 10 05:18:45 PDT 2023,Mon Apr 10 05:19:54 PDT 2023,Thu Apr 13 05:19:54 PDT 2023,Thu Apr 13 05:20:26 PDT 2023,,,69,100% (2/2),100% (2/2),100% (2/2),"@CathyYuanZhang #China: Must understand that further optimization of prevention and control measures is to make prevention and control more 'scientific and precise.' Must not misread optimization as 'relaxing epidemic prevention and control' or even 'giving up Covid-fight.'
#COVID19",Near-left,,
3SCKNODZ0X99NWXBRN3O4BGGQ7VN7R,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,3LYA37P8IRGY4MDSXTSQ55HYFQ7BKM,A1VCJBY1IOTUEP,Approved,Mon Apr 10 05:18:10 PDT 2023,Mon Apr 10 05:19:42 PDT 2023,Thu Apr 13 05:19:42 PDT 2023,Thu Apr 13 05:19:43 PDT 2023,,,92,100% (9/9),100% (9/9),100% (9/9),"@CathyYuanZhang #China: Must understand that further optimization of prevention and control measures is to make prevention and control more 'scientific and precise.' Must not misread optimization as 'relaxing epidemic prevention and control' or even 'giving up Covid-fight.'
#COVID19",Near-right,,
3SCKNODZ0X99NWXBRN3O4BGGQ7VN7R,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,3PJUZCGDJ79VLSWUQKHROUDHWQA98R,A2P4KURBQNEJ70,Approved,Mon Apr 10 05:18:16 PDT 2023,Mon Apr 10 05:20:03 PDT 2023,Thu Apr 13 05:20:03 PDT 2023,Thu Apr 13 05:20:29 PDT 2023,,,107,100% (3/3),100% (3/3),100% (3/3),"@CathyYuanZhang #China: Must understand that further optimization of prevention and control measures is to make prevention and control more 'scientific and precise.' Must not misread optimization as 'relaxing epidemic prevention and control' or even 'giving up Covid-fight.'
#COVID19",N/A,,
3SCKNODZ0X99NWXBRN3O4BGGQ7VN7R,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,3L4PIM1GQU9G4YJYX5F7ES1DVRIRY9,A30Z35CHHL9GP2,Approved,Mon Apr 10 05:18:18 PDT 2023,Mon Apr 10 05:19:07 PDT 2023,Thu Apr 13 05:19:07 PDT 2023,Thu Apr 13 05:19:30 PDT 2023,,,49,100% (4/4),100% (4/4),100% (4/4),"@CathyYuanZhang #China: Must understand that further optimization of prevention and control measures is to make prevention and control more 'scientific and precise.' Must not misread optimization as 'relaxing epidemic prevention and control' or even 'giving up Covid-fight.'
#COVID19",Near-left,,
3SCKNODZ0X99NWXBRN3O4BGGQ7VN7R,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,3XM0HYN6NLSXMGMSKCZO2U9ICXQEPQ,AYEMIOSIJ7X7G,Approved,Mon Apr 10 05:20:34 PDT 2023,Mon Apr 10 05:21:03 PDT 2023,Thu Apr 13 05:21:03 PDT 2023,Thu Apr 13 05:21:27 PDT 2023,,,29,100% (9/9),100% (9/9),100% (9/9),"@CathyYuanZhang #China: Must understand that further optimization of prevention and control measures is to make prevention and control more 'scientific and precise.' Must not misread optimization as 'relaxing epidemic prevention and control' or even 'giving up Covid-fight.'
#COVID19",Neutral,,
3INZSNUD80J4F3URHQN5M2VS7THD9B,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,3BQU611VFQDVZXF4VCN5OQ8SGWS99G,A14I668CAQXSBD,Approved,Mon Apr 10 05:18:17 PDT 2023,Mon Apr 10 05:19:24 PDT 2023,Thu Apr 13 05:19:24 PDT 2023,Thu Apr 13 05:19:36 PDT 2023,,,67,100% (21/21),100% (21/21),100% (21/21),"@ColinDMello Do you know who is responsible for...
Children in schools catching #COVID19, teachers getting #COVID19, educational workers getting #COVID19, &amp; bus drivers getting #COVID19 ?

The @OntarioPCCaucus is responsible for #UnsafeSchools spreading #COVID19",Near-left,,
3INZSNUD80J4F3URHQN5M2VS7THD9B,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:37 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:37 PDT 2023,,,386CSBG1O0FE9DUSE7VFQB7F0VOQ68,A2CR0YT6047177,Approved,Mon Apr 10 05:18:39 PDT 2023,Mon Apr 10 05:18:59 PDT 2023,Thu Apr 13 05:18:59 PDT 2023,Thu Apr 13 05:19:28 PDT 2023,,,20,100% (13/13),100% (13/13),100% (13/13),"@ColinDMello Do you know who is responsible for...
Children in schools catching #COVID19, teachers getting #COVID19, educational workers getting #COVID19, &amp; bus drivers getting #COVID19 ?

The @OntarioPCCaucus is responsible for #UnsafeSchools spreading #COVID19",Neutral,,
